1/4/2012,"Srah, Claremorris",,Mayo,21666,Yes
1/4/2012,"Stormount House, Castleconnell",,Limerick,900000,No
1/4/2012,"Tober  Cloran, Cloneen, Clonmel",,Tipperary,52000,No
1/4/2012,"Uggool, Moycullen",,Galway,120000,No
1/5/2012,"10 Goldsmith Street, Phibsborough",Dublin 7,Dublin,185000,No
1/5/2012,"10 Lacey Square, Cashel",,Tipperary,57500,No
1/5/2012,"10 Old Rectory Park, Dundrum, Dublin 14",,Dublin,390000,No
1/5/2012,"10 Sommerville Avenue, Crumlin",,Dublin,172500,No
1/5/2012,"11 Orby Avenue, The Gallops, Leopardstown",,Dublin,241409.69,No
1/5/2012,"143 Carrigmore Crescent, Fortunestown lane, Saggart",,Dublin,90000,No
1/5/2012,"15 Montrose House, Whitestrand Park",,Galway,65000,No
1/5/2012,"16 Bromley Close, Ardkeen Village, Waterford",,Waterford,140000,No
1/5/2012,"2 Belfield Court, Martins Lane, Mullingar",,Westmeath,40000,Yes
1/5/2012,"20 Seanacloc, Tower, Blarney",,Cork,188000,No
1/5/2012,"23 Cluainin, Portlaoise Road, Mountrath",,Laois,51546.13,Yes
1/5/2012,"27 Cabra Park, Phibsboro",Dublin 11,Dublin,105000,Yes
1/5/2012,"28 PARKVIEW, SWORDS MANOR, SWORDS",,Dublin,187000,No
1/5/2012,"3 Racehill Hall, Ashbourne",,Meath,251715,No
1/5/2012,"3 St Mary's Avenue, Rathfarnham, Dublin 14",,Dublin,205000,No
1/5/2012,"31 (FORMERLY 36) Cabra Park, Phibsboro",Dublin 7,Dublin,120000,Yes
1/5/2012,"44 Avondale, Trim",,Meath,120000,No
1/5/2012,"46 Carraig Ean, Edenderry",,Offaly,77246.7,No
1/5/2012,"46 Glencairn Crescent, The Gallops, Lepordstown",,Dublin,330000,No
1/5/2012,"46 The Paddocks Drive, Adamstown",,Dublin,150000,No
1/5/2012,"5 The Paddock, Westport",,Mayo,85000,Yes
1/5/2012,"55 Ballykeeffe Estate, Limerick",,Limerick,100000,Yes
1/5/2012,"70 Brooklands, Clane",,Kildare,155000,No
1/5/2012,"76 Clidfen Glen, Clifden",,Galway,66000,No
1/5/2012,"79 Lansdowne village, Sandymount, Dublin 4",,Dublin,160000,No
1/5/2012,"84, Sandyhill Gardens, Ballymun",Dublin 11,Dublin,85000,No
1/5/2012,"87 Auburn Heights, Athlone",,Westmeath,109000,No
1/5/2012,"9 Flora View, Boreenmanna Road, Cork City",,Cork,50000,No
1/5/2012,"9 Old Springfield, Mullingar",,Westmeath,30000,Yes
1/5/2012,"90 Laverna Way, Castleknock",Dublin 15,Dublin,312775.33,No
1/5/2012,"Apt 17 Harbour Court, Friars Mill Road, Mullingar",,Wicklow,30000,Yes
1/5/2012,"Apt 5 Central Park, Bishopsgate Gate Street, Mullingar",,Westmeath,45000,Yes
1/5/2012,"Apt 8 Central part, Bishopsgate Street, Mullingar",,Westmeath,45000,Yes
1/5/2012,"Apt 8 The Courtyard, Mount Street, Mullingar",,Westmeath,35000,Yes
1/5/2012,"Avondale, Roxboro Road, Limerick",,Limerick,85000,No
1/5/2012,"Bog Gate Lodge, Golf Course Road, Westport",,Mayo,285000,No
1/5/2012,"Corboggy, Moynalty, Kells",,Meath,50000,No
1/5/2012,"Derrartha Beag, Carraroe",,Galway,50000,No
1/5/2012,"Doonfore, Ballinful",,Sligo,90000,No
1/5/2012,"Dugort East, Achill, Westport",,Mayo,120000,No
1/5/2012,"Gorteenalomane, Skibbereen",,Cork,67500,No
1/5/2012,"Innishcarra, 36 Kings Hill, Westport",,Mayo,110000,Yes
1/5/2012,"Mullaghamore, Ballyjamesduff",,Cavan,15000,No
1/5/2012,"Rathwire Lower, Killucan",,Westmeath,70000,No
1/5/2012,"Rossa Street, Rosscarbery",,Cork,56667,Yes
1/5/2012,"UPPER ROAD, BALLINACURRA, MIDLETON",,Cork,70000,No
1/6/2012,"1 VANESSA CLOSE, CELBRIDGE",,Kildare,250000,No
1/6/2012,"1 Whitton Road, Terenure, Diblin 6W",Dublin 8,Dublin,415000,No
1/6/2012,"109 Assumption Park, Roscrea",,Tipperary,53500,No
1/6/2012,"11 Slemish Road, Navan Road",,Dublin,345000,No
1/6/2012,"14  14A 15 !5A Love Lane, Castlecomer",,Kilkenny,120000,No
1/6/2012,"14 Brighton Square, Brighton Road",Dublin 18,Dublin,835000,No
1/6/2012,"15 Connawood Green, Old Connaught Avenue, Bray",,Dublin,255000,No
1/6/2012,"15 Yale, Ardilea, Clonskeagh",,Dublin,680000,No
1/6/2012,"151 An Sean Bhaile, Doughiska, Galway",,Galway,95000,No
1/6/2012,"159 Ath Leathan, Racecourse Road, Dundalk",,Louth,290748.89,No
1/6/2012,"18 Parkhill, Skehard Road, Blackrock",,Cork,250000,No
1/6/2012,"180 Woodfield, Scholarstown Road, Rathfarnham",Dublin 16,Dublin,195000,No
1/6/2012,"2 Ard Cuan, Eyeries, Beara",,Cork,170000,No
1/6/2012,"2 Hillhead, Kilmacrennan",,Donegal,110000,No
1/6/2012,"23 Summerfield, Arklow, Co. Wicklow",,Wicklow,140000,No
1/6/2012,"25 inis chlair, kildysart road, Ennis",,Clare,48000,No
1/6/2012,"251 Nutgrove Avenue, Rathfarnham",,Dublin,175000,No
1/6/2012,"33 rushbrook park, templeogue, dublin 6w",,Dublin,247000,No
1/6/2012,"34 The Pines, Arklow",,Wicklow,140000,No
1/6/2012,"37 Willowbank, Church Road, Blackrock",,Cork,500000,No
1/6/2012,"4 O'Leary Road, Inchicore, Dublin 8",,Dublin,142000,No
